category,n,pct
restaurant,3386033,3.9297510802009814
shopping,2072302,2.40506546244607
health_and_medical,2066542,2.3983805405265386
professional_services,1749215,2.030098211019727
beauty_and_spa,1564282,1.8154692760640405
retail,1553349,1.8027806907608739
accommodation,1542071,1.7896917064885685
beauty_salon,1181643,1.3713873596807615
bar,1164987,1.3520567937967825
automotive,1048820,1.2172360777158382
education,1043770,1.2113751652690268
school,1034248,1.200324153720801
cafe,1012215,1.17475316680187
religious_organization,883796,1.0257130647212553
fast_food_restaurant,862210,1.0006608555971215
grocery_store,858957,0.996885499519997
real_estate,849830,0.9862929157770169
diner,782423,0.9080619206676639
doctor,767823,0.8911175005244066
clothing_store,748275,0.8684305467599959
community_services_non_profits,746888,0.8668208268463864
landmark_and_historical_building,740168,0.8590217512735995
business_to_business,738585,0.8571845583224504
active_life,738314,0.8568700420307502
hotel,727407,0.8442116317223592
topic_concert_venue,705498,0.8187845563169739
coffee_shop,628376,0.7292785583520218
arts_and_entertainment,627456,0.7282108277676522
sports_and_recreation_venue,624409,0.724674550495289
travel,602065,0.6987426242157722
church_cathedral,549584,0.6378343972610947
automotive_dealer,520958,0.6046117280130887
financial_service,511791,0.5939727212012229
spas,480049,0.5571336948870259
asian_restaurant,476276,0.5527548389143881
womens_clothing_store,473270,0.5492661452876326
public_service_and_government,456587,0.5299042438321556
contractor,450519,0.5228618642822046
hospital,448321,0.5203109166469387
automotive_repair,444490,0.515864747224417
event_planning,437023,0.5071987208401907
home_improvement_store,423649,0.491677167758278
eat_and_drink,419645,0.48703021856282586
public_and_government_association,418670,0.4858986562587384
real_estate_agent,411935,0.47808217203511927
motel,391282,0.454112780992743
pub,387169,0.4493393289345773
attractions_and_activities,373925,0.433968650826543
sports_club_and_league,368978,0.42822727778211184
elementary_school,363331,0.42167350103218215
fashion,362368,0.42055586564876035
real_estate_service,358657,0.41624896543289547
convenience_store,349732,0.4058908181877877
hair_salon,347130,0.4028709975567771
gym,343532,0.398695242510514
commercial_industrial,337606,0.39181766485510705
park,328132,0.3808223609895439
supermarket,327051,0.37956777755290955
fashion_accessories_store,319978,0.37135901839720686
pet_services,316221,0.36699873165212343
barber,304850,0.3538018137446591
transportation,304730,0.3536625445380021
lodge,295779,0.34327422229811877
construction_services,295170,0.34256743107433496
legal_services,284741,0.33046377643912733
medical_service_organizations,274716,0.3188289947996646
automotive_services_and_repair,264979,0.3075284592561785
automotive_parts_and_accessories,258803,0.30036073742023617
social_service_organizations,256309,0.29746625907521673
fountain,252476,0.2930177684992506
desserts,249089,0.28908689514135927
electronics,244007,0.28318884423943913
printing_services,243988,0.28316679328171845
tours,242631,0.28159189066977325
sports_and_fitness_instruction,242350,0.2812657686108516
medical_center,236056,0.2739610987216967
dentist,235377,0.273173067127363
american_restaurant,226599,0.26298552466041003
central_government_office,226073,0.2623750613045639
college_university,224881,0.2609916538517719
bakery,224011,0.25998195210350933
home_service,219147,0.25433690692701594
delicatessen,217906,0.252896631214839
business_to_business_services,217292,0.2521840371074445
naturopathic_holistic,216488,0.25125093342284316
day_care_preschool,212982,0.24718195143501714
business_advertising,211191,0.24510335852566276
industrial_company,209486,0.2431245752144125
home_and_garden,209331,0.24294468582248063
building_supply_store,207716,0.24107035441622307
industrial_equipment,205625,0.2386435884902264
monument,203914,0.2366578417186433
general_dentistry,202577,0.23510615064114088
public_school,201755,0.23415215657554106
bar_and_grill_restaurant,200768,0.23300666735078795
counseling_and_mental_health,200557,0.23276178566241623
cosmetic_and_beauty_supplies,200517,0.2327153625935306
car_dealer,199959,0.23206776078257596
specialty_school,195831,0.22727690007357826
italian_restaurant,192693,0.22363501031950006
auto_company,192505,0.22341682189573756
furniture_store,191564,0.22232471920020294
it_service_and_computer_repair,189907,0.22040164357161546
hardware_store,188692,0.2189915428542142
flowers_and_gifts_shop,186727,0.2167110095952073
food,179993,0.2088956859483104
home_goods_store,176154,0.20444023191201138
japanese_restaurant,176138,0.20442166268445713
health_food_store,175849,0.2040862560117584
event_photography,175639,0.20384253490010878
campus_building,171925,0.19953215295407745
engineering_services,171341,0.19885437614834714
advertising_agency,170589,0.19798162245329717
