layer_name,geometry_type,feature_count,min_lon,max_lon,min_lat,max_lat,road_like,building_like,poi_like
points,Point,224908,17.535,18.557000000000002,59.103,59.571000000000005,0,0,50411
lines,Line String,270987,17.535,18.557000000000002,59.103,59.571000000000005,228902,0,275
multilinestrings,Multi Line String,2457,17.535,18.557000000000002,59.103,59.571000000000005,0,0,2
multipolygons,Multi Polygon,450189,17.535,18.557000000000002,59.103,59.571000000000005,0,369782,36720
other_relations,Geometry Collection,3270,17.535,18.557000000000002,59.103,59.571000000000005,0,0,22
