epoch,step,train/kl,train/loss,train/recon_bce,train/recon_mse,val/kl,val/loss,val/recon_bce,val/recon_mse
0,9,1.3689650297164917,0.7326456308364868,0.6454241871833801,0.07353179156780243,,,,
0,19,0.7268044948577881,0.6269401907920837,0.5992920398712158,0.02038010023534298,,,,
0,29,0.6459448337554932,0.5590518712997437,0.536320686340332,0.016271691769361496,,,,
0,39,0.571664571762085,0.49385255575180054,0.4771653711795807,0.010970544070005417,,,,
0,49,0.4385284185409546,0.4449925124645233,0.43105459213256836,0.009552638046443462,,,,
0,59,0.4508756399154663,0.39968371391296387,0.3883271813392639,0.00684775784611702,,,,
0,69,0.3839794397354126,0.36249133944511414,0.3522607088088989,0.006390837021172047,,,,
0,79,0.449690043926239,0.31619778275489807,0.3033803105354309,0.008320579305291176,,,,
0,89,0.34132450819015503,0.29851049184799194,0.2888566553592682,0.006240604445338249,,,,
0,99,0.3459475040435791,0.2725048065185547,0.264169305562973,0.004876007791608572,,,,
0,109,0.30347055196762085,0.26266440749168396,0.25216948986053467,0.007460205815732479,,,,
0,119,0.3568969666957855,0.21684300899505615,0.20818597078323364,0.005088078789412975,,,,
0,129,0.32276248931884766,0.2092645913362503,0.20223890244960785,0.003798062214627862,,,,
0,139,0.34237200021743774,0.17736180126667023,0.16946959495544434,0.004468485713005066,,,,
0,149,0.3193471431732178,0.16567647457122803,0.15834979712963104,0.004133217036724091,,,,
0,159,0.3139335513114929,0.15508094429969788,0.14768463373184204,0.004256977699697018,,,,
0,169,0.3305542469024658,0.14457663893699646,0.13705363869667053,0.004217454232275486,,,,
0,179,0.3086250424385071,0.15730784833431244,0.14973512291908264,0.004486476071178913,,,,
0,189,0.3244362473487854,0.15835432708263397,0.15182822942733765,0.0032817425671964884,,,,
0,199,0.3051406145095825,0.13209645450115204,0.12573254108428955,0.003312519984319806,,,,
0,209,0.31416213512420654,0.12485302239656448,0.11810656636953354,0.003604839788749814,,,,
0,219,0.3514600396156311,0.13707055151462555,0.12993130087852478,0.003624645294621587,,,,
0,229,0.3565216064453125,0.12246181815862656,0.11579708009958267,0.003099521156400442,,,,
0,239,0.34848058223724365,0.10476246476173401,0.09856002032756805,0.0027176360599696636,,,,
0,249,0.3274901509284973,0.09037777781486511,0.08409097045660019,0.003011902794241905,,,,
0,259,0.35560929775238037,0.09405279159545898,0.08716800808906555,0.003328691003844142,,,,
0,269,0.38020598888397217,0.09922263771295547,0.09259209036827087,0.002828484633937478,,,,
0,279,0.4190133213996887,0.11305784434080124,0.10613864660263062,0.002729063853621483,,,,
0,289,0.35498642921447754,0.08367250114679337,0.07733990997076035,0.0027827229350805283,,,,
0,299,0.38610613346099854,0.08800949901342392,0.08191633224487305,0.0022321068681776524,,,,
0,309,0.40475231409072876,0.09419029951095581,0.08734689652919769,0.002795879263430834,,,,
0,319,0.4032888412475586,0.08300097286701202,0.0762973427772522,0.0026707430370151997,,,,
0,329,0.36976534128189087,0.07265011966228485,0.06667827814817429,0.00227418658323586,,,,
0,339,0.4496307373046875,0.09078919887542725,0.08399240672588348,0.002300489693880081,,,,
0,349,0.41989707946777344,0.08224055171012878,0.0760708749294281,0.0019707053434103727,,,,
0,359,0.32509708404541016,0.059358179569244385,0.054185569286346436,0.0019216386135667562,,,,
0,369,0.42554789781570435,0.07647023350000381,0.06975128501653671,0.0024634695146232843,,,,
0,379,0.39835718274116516,0.0703132152557373,0.06438758969306946,0.0019420571625232697,,,,
0,389,0.38765406608581543,0.061658356338739395,0.05502685531973839,0.0027549585793167353,,,,
0,399,0.4440746307373047,0.07387447357177734,0.06676054000854492,0.002673183102160692,,,,
0,409,0.4820018410682678,0.0778789222240448,0.07061228156089783,0.002446618163958192,,,,
0,419,0.252136766910553,0.03548996523022652,0.031045325100421906,0.0019232751801609993,,,,
0,429,0.37078791856765747,0.05442441254854202,0.04824429750442505,0.0024722355883568525,,,,
0,439,0.4345502555370331,0.06629805266857147,0.060078226029872894,0.0018743285909295082,,,,
0,449,0.3994670808315277,0.05842093005776405,0.0527043342590332,0.0017219241708517075,,,,
0,459,0.41716787219047546,0.0637178048491478,0.057886701077222824,0.00165942229796201,,,,
0,469,0.3490723967552185,0.05073174461722374,0.045676734298467636,0.0015642871148884296,,,,
0,479,0.3773900270462036,0.05415697395801544,0.04876461997628212,0.0016184519045054913,,,,
0,489,0.2685670852661133,0.03583068773150444,0.031587038189172745,0.0015579813625663519,,,,
0,499,0.37460196018218994,0.054045263677835464,0.04867025464773178,0.00162899203132838,,,,
0,509,0.492299348115921,0.07002326101064682,0.0635426789522171,0.001557585783302784,,,,
0,519,0.36754676699638367,0.04985008388757706,0.0447840541601181,0.0013905609957873821,,,,
0,529,0.4802943766117096,0.06823301315307617,0.06189090013504028,0.0015391716733574867,,,,
0,539,0.33405712246894836,0.044306736439466476,0.03960077464580536,0.0013653900241479278,,,,
0,549,0.33067917823791504,0.044742386788129807,0.04006229341030121,0.00137330312281847,,,,
0,559,0.39908868074417114,0.054022110998630524,0.04838448017835617,0.0016467439709231257,,,,
0,561,,,,,0.35409873723983765,0.045003361999988556,0.04057667404413223,0.0008857026696205139
1,569,0.4493107497692108,0.06235601752996445,0.05652952566742897,0.0013333859387785196,,,,
1,579,0.3182344436645508,0.04092917963862419,0.036448512226343155,0.0012983237393200397,,,,
1,589,0.36812177300453186,0.04713262990117073,0.041959524154663086,0.0014918892411515117,,,,
1,599,0.40341609716415405,0.05272313952445984,0.047350719571113586,0.0013382576871663332,,,,
1,609,0.4372594356536865,0.05636540427803993,0.05063581466674805,0.001356995664536953,,,,
1,619,0.39640864729881287,0.05073701590299606,0.04491973668336868,0.0018531930400058627,,,,
1,629,0.24037745594978333,0.027457987889647484,0.023121807724237442,0.001932404120452702,,,,
1,639,0.3764209747314453,0.044768065214157104,0.039766162633895874,0.0012376932427287102,,,,
1,649,0.35488325357437134,0.043873485177755356,0.03896770626306534,0.0013569471193477511,,,,
