epoch,step,train/loss
0,9,5.536942481994629
0,19,4.605295181274414
0,29,3.8616721630096436
0,39,3.3231780529022217
0,49,2.993190288543701
0,59,2.6894948482513428
0,69,2.629263162612915
0,79,2.353224515914917
0,89,2.3652777671813965
0,99,2.1772501468658447
0,109,2.073798656463623
0,119,2.021930456161499
0,129,2.4544568061828613
0,139,1.89041006565094
0,149,1.6000778675079346
0,159,2.160642623901367
0,169,2.2181928157806396
0,179,1.6440014839172363
0,189,1.4735136032104492
0,199,1.3831928968429565
0,209,1.4121521711349487
0,219,1.3060486316680908
0,229,1.6627840995788574
0,239,1.4361450672149658
0,249,1.4231460094451904
0,259,2.047981023788452
0,269,1.40359365940094
0,279,1.5818451642990112
0,289,1.293951392173767
0,299,1.5419114828109741
0,309,1.9709482192993164
0,319,1.6363682746887207
0,329,1.9833201169967651
0,339,1.2456140518188477
0,349,1.4691426753997803
0,359,1.568949818611145
0,369,2.071014404296875
0,379,1.2584747076034546
0,389,1.1858010292053223
0,399,1.8262784481048584
0,409,1.4486545324325562
0,419,1.9751158952713013
0,429,1.9002012014389038
0,439,1.3388142585754395
0,449,1.382153868675232
0,459,1.340854287147522
0,469,1.3796141147613525
0,479,1.1286430358886719
0,489,1.7578186988830566
0,499,1.1504830121994019
0,509,1.412636399269104
0,519,0.9629464149475098
0,529,1.4459129571914673
0,539,1.8076927661895752
0,549,1.2950021028518677
0,559,1.0269792079925537
0,569,1.2260977029800415
0,579,1.2418237924575806
0,589,1.0925105810165405
0,599,1.1436710357666016
0,609,1.1015633344650269
0,619,3.56170654296875
0,629,1.7838993072509766
0,639,1.7449063062667847
0,649,0.9848581552505493
0,659,1.2588226795196533
0,669,1.04087233543396
0,679,0.9720489978790283
0,689,1.064996361732483
0,699,1.0569136142730713
0,709,1.1759198904037476
0,719,1.7469526529312134
0,729,3.276099920272827
0,739,0.9020004272460938
0,749,1.2602360248565674
0,759,1.1097897291183472
0,769,1.2390186786651611
0,779,1.2552056312561035
0,789,1.0167417526245117
0,799,0.9945493936538696
0,809,1.220373511314392
0,819,1.035728931427002
0,829,1.1840909719467163
0,839,3.1392502784729004
0,849,0.9157548546791077
0,859,1.0334547758102417
0,869,1.6641416549682617
0,879,1.1377053260803223
0,889,1.2283233404159546
0,899,2.9879355430603027
0,909,1.2246311902999878
0,919,0.9759826064109802
0,929,1.5417802333831787
0,939,1.5158438682556152
0,949,1.1221412420272827
0,959,1.139472484588623
0,969,0.9399279356002808
0,979,1.4297581911087036
0,989,1.0102190971374512
0,999,1.189770221710205
0,1009,0.9417408108711243
0,1019,0.8373679518699646
0,1029,1.0780571699142456
0,1039,1.3160841464996338
0,1049,1.0813043117523193
0,1059,0.8171289563179016
0,1069,0.9148347973823547
0,1079,1.0182907581329346
0,1089,0.7987079620361328
0,1099,0.9244788289070129
0,1109,1.0475115776062012
0,1119,0.8234228491783142
0,1124,1.0734878778457642
