epoch,step,train/loss
0,9,24.78656768798828
0,19,2.8070340156555176
0,29,28.661258697509766
0,39,5.242079734802246
0,49,30.742626190185547
0,59,1.4337403774261475
0,69,5.0752129554748535
0,79,3.15826153755188
0,89,2.4190893173217773
0,99,1.7253154516220093
0,109,1.8217406272888184
0,119,5.793911933898926
0,129,67.04473876953125
0,139,1.4365262985229492
0,149,2.541273593902588
0,159,3.193380355834961
0,169,2.100797653198242
0,179,7.836621284484863
0,189,2.260549545288086
0,199,1.342409610748291
0,209,2.279444456100464
0,219,1.3467106819152832
0,229,1.6514651775360107
0,239,1.8975555896759033
0,249,1.3383300304412842
0,259,1.2772315740585327
0,269,6.756984710693359
0,279,6.865029811859131
0,289,1.3834397792816162
0,299,1.4146203994750977
0,309,2.343289375305176
0,319,1.7781901359558105
0,329,2.015800714492798
0,339,1.6273947954177856
0,349,1.4013205766677856
0,359,1.0401391983032227
0,369,2.2641329765319824
0,379,2.0130600929260254
0,389,0.8884403705596924
0,399,1.2728387117385864
0,409,1.1618084907531738
0,419,2.199761390686035
0,429,1.206726312637329
0,439,1.5410754680633545
0,449,2.194383144378662
0,459,1.8902093172073364
0,469,3.7792320251464844
0,479,1.2241833209991455
0,489,1.0435271263122559
0,499,2.452180862426758
0,509,1.5208417177200317
0,519,1.5536127090454102
0,529,1.3308589458465576
0,539,2.0038869380950928
0,549,1.4052691459655762
0,559,1.353110432624817
0,561,1.5596433877944946
